the_geom,cartodb_id,adreca,contacte,nom,web,lng,lat,categoria,mascotes
0101000020E6100000399D64ABCB29E73FCA518028985B4440,15,"C/ Delta, 6",673401540,Casa Bal·leso,,0.723852,40.715581,Cases de Poble,
0101000020E6100000395E81E84999E73F105B7A34D55B4440,1,"Av. Goles de l'Ebre, s/n",977480136,Alberg Mn. Antoni Batlle,www.xanascat.cat,0.737462,40.717444,Albergs,
0101000020E61000003C1570CFF3A7E63F4128EFE3685C4440,2,"Leopoldo Segarra, 49",977489291,Casablanca Hotel,www.elpetithotel.com,0.708002,40.721951,Apartaments turístics,
0101000020E6100000641EF98381E7EA3F2237C30DF85C4440,3,"C/ Coll Verd, s/n",977477099,Apartamentos Las Dunas,www.lasdunasriumar.com,0.84076,40.72632,Apartaments turístics,
0101000020E6100000DF89592F86F2E73FBFEE74E7895B4440,4,Av. Goles de l'Ebre 409,620586371,Casa Ramon de l’Habana,www.casaramondelahabana.com,0.748355,40.715146,Cases de Poble,
0101000020E610000044C362D4B576E73F54E1CFF0665B4440,5,"C/ Unió, 102",627395961,Pas del Riu,www.masiadepoble.com,0.733241,40.714079,Cases de Poble,
0101000020E6100000643C4A253C21E73F2750C422865B4440,6,"C/ Riu Ebre, 17",630645087,Lo Riu Ebre,www.loriuebre.com,0.722807,40.715031,Cases de Poble,
0101000020E61000001C40BFEFDFBCE63F5F402FDCB95C4440,7,"C/ Joan Bonet, 104 p.baixa",628520542,Casa Rosana,www.casarosana.com,0.710556,40.724422,Cases de Poble,
0101000020E610000077BD34458053E73F0CAEB9A3FF5B4440,8,"Av. Robert Graupera, 42 B",619509306,Ca la Vicen,www.casaruralvicen.com,0.728943,40.718739,(mascotes)Cases de Poble,Es permeten mascotes
0101000020E610000085984BAAB69BE63F39268BFB8F5C4440,9,"C/ Gustavo Adolfo Bequer, 58 A",661234549,Petita Teneriffa,,0.706508,40.723144,(mascotes)Cases de Poble,Es permeten mascotes
0101000020E610000009FF2268CCA4E63FBBB9F8DB9E5C4440,10,"C/ Leopoldo Segarra, 72-A",600440242,Casa Izquierdo,www.casadeltaebro.com,0.707617,40.723598,Cases de Poble,
0101000020E61000001E51A1BAB978E63FC347C494485C4440,11,"Av. Germans Carsi, 69",607523963,Casa Xupena,,0.702237,40.720965,Cases de Poble,
0101000020E6100000E97C789620A3E63F2C4A09C1AA5C4440,12,"c/ Leopoldo Segarra, 65",638138449,Casa M Cinta,,0.707413,40.723961,Cases de Poble,
0101000020E6100000B534B742588DE73F9082A7902B5B4440,13,"C/ Capitan Cortés,55",630583734,Caseta del riu,,0.736004,40.712267,Cases de Poble,
0101000020E6100000EAE923F0879FE73FF838D384ED5B4440,14,"C/ Carles Itarte, 23",630583734,Casa Vella,,0.738224,40.718186,(mascotes)Cases de Poble,Es permeten mascotes
0101000020E6100000D0B359F5B95AE63F20ED7F80B55C4440,16,"C/ Montroig, 8-A",664418395,Can Pantoni,,0.698575,40.724289,Cases de Poble,
0101000020E61000000CCB9F6F0B96E63F24D5777E515C4440,17,"C/ Gustavo Adolfo Bequer, 27",696444120,Casa Bo Franch,www.casabofranch.cat,0.705816,40.721237,Cases de Poble,
0101000020E6100000CA6B257497C4E63FA8565F5D155C4440,18,"Av. De l'Assumpció, 156",699283417,Can Ventura,,0.711498,40.719402,Cases de Poble,
0101000020E61000001349F4328AE5E53F16F88A6EBD5C4440,19,"C/ Reïs Catòlics, 10",622151435,Vora Riu,,0.68427,40.724531,Cases de Poble,
0101000020E6100000DD239BABE6B9E63FD33252EFA95C4440,20,"C/Doctor Joan Bonet, 95 A",637535656,Casa Enric,www.deltavacaciones.es/,0.710193,40.723936,(mascotes)Cases de Poble,Es permeten mascotes
0101000020E6100000D926158DB53FE73F899AE8F3515A4440,21,"Carrer Jaume I el Conqueridor, 100",saravbo@gmail.com,Casa Lo Passador,,0.726527,40.705626,Cases de Poble,
0101000020E6100000B745990D32C9E73F9E5DBEF5615B4440,22,"C/ Sapinya, 44",637535656,Casa Galet,www.deltavacaciones.es/,0.74331,40.713927,Cases de Poble,
0101000020E61000002467DD1697D0E73FAAFE18A5115B4440,23,"C/ Emperador Carles V, 68",637535656,Les Merces,www.deltavacaciones.es/,0.744212669342,40.7114759794,(mascotes)Cases de Poble,Es permeten mascotes
0101000020E6100000E107E753C7AAE63F075F984C155C4440,24,"Av. Ntra. Sra. de l'Assumpció, 91-83",620684143,Casilla del Mas d'Avall,,0.708347,40.7194,(mascotes)Cases de turisme rural,Es permeten mascotes
0101000020E610000062F888981249EA3F12842BA0505B4440,25,Ctra. de Riumar,606345413,Casa Lo Vivet,www.turismeruralebre.com,0.82142,40.713398,Cases de turisme rural,
0101000020E610000078F01307D06FE73FD4450A65E15B4440,26,Ctra. de Nasos,646707956,Villa Fina,,0.732399,40.717816,Cases de turisme rural,
0101000020E61000003E3E213B6FE3E73F959BA8A5B95F4440,27,Ctra. de la Marquesa,637535656,Casa Pepeta,www.deltavacaciones.es/,0.746513,40.747853,(mascotes)Cases de turisme rural,Es permeten mascotes
0101000020E6100000DEC7D11C5979E83F81B053AC1A5C4440,28,Ctra. del Toll,620684143,Caseta Morritos,www.casetamorritos.com,0.764813,40.719564,(mascotes)Cases de turisme rural,Es permeten mascotes
0101000020E6100000C2C3B46FEE2FE93FFD101B2C9C5A4440,29,"Camí dels Parrillos, s/n",977480784,Barraca de Joanet de Patacó,www.barracajuanetdepataco.com,0.787101,40.707891,Cases de turisme rural,
0101000020E61000005B9885764EB3E93FB70DA320785A4440,30,"Ctra. de Riumar, Km. 16",699621036,La Fonsa,http://ebre.info/turismorural/lafonsa/default.htm,0.803138,40.706791,(mascotes)Cases de turisme rural,Es permeten mascotes
0101000020E61000009A931799805FE83F658BA4DDE85F4440,31,Ctra. Marquesa,690917659,Miriam i Joana,www.casesruralsebre.com,0.761658,40.749294,(mascotes)Cases de turisme rural,Es permeten mascotes
0101000020E61000005073F2221370E73FD4450A65E15B4440,32,Ctra. Del Toll,666659177,Caseta de Manigocha,www.agroturisme.org/casa.php?id=manigotxa,0.732431,40.717816,Cases de turisme rural,
0101000020E6100000425DA450163EE73F986BD102B45B4440,33,Ctra. del Toll,637535656,Caseta del Chato,www.deltavacaciones.es/,0.726329,40.716431,Cases de turisme rural,
0101000020E61000005B5B785E2AB6E73F0ABC934F8F5D4440,34,Ctra. de la Marquesa,977482272,Barraca de Salvador,www.barracadesalvador.com,0.740987,40.730936,(mascotes)Cases de turisme rural,Es permeten mascotes
0101000020E61000005B5B785E2AB6E73F0ABC934F8F5D4440,35,Ctra. de la Marquesa,977482272,Casa Susana,www.barracadesalvador.com,0.740987,40.730936,Cases de turisme rural,
0101000020E6100000FF3C0D1824FDE73F41B62C5F975F4440,36,"Ctra. de la Marquesa, s/n",617039867,Illa de Mar,www.illademar.net,0.749651,40.746807,Cases de turisme rural,
0101000020E610000090A339B2F24BE93F68942EFD4B5A4440,37,"Ctra. Riumar, km. 15",637535656,Caseta del Quet,www.deltavacaciones.es/,0.790521,40.705444,(mascotes)Cases de turisme rural,Es permeten mascotes
0101000020E610000083DE1B430070E63F0B0BEE073C604440,38,Crta. Del Canal de Montanyana,660039192,Caseta Montanyana,www.casetamontanyana.com,0.701172,40.751832,(mascotes)Cases de turisme rural,Es permeten mascotes
0101000020E61000005B5B785E2AB6E73F0ABC934F8F5D4440,39,Ctra. De la Marquesa,627542784,La Barraca Gran,www.barracadesalvador.com,0.740987,40.730936,Cases de turisme rural,
0101000020E61000001EE0490B9755E63FCE893DB48F5D4440,40,"C/Barri de Lepanto, 13",615981311,Masia Tinet,www.masiatinet.com,0.697948,40.730948,Cases de turisme rural,
0101000020E610000055F7C8E6AA79E63F5E9CF86A475D4440,41,"TV-340, km. 7",606345413,Caseta de la Partidalt,www.turismeruralebre.com,0.702352,40.728742,Cases de turisme rural,
0101000020E6100000A167B3EA73B5EA3FC5E3A25A445C4440,42,Ctra. Riumar,606790536,Caseta del Delta,www.casarural-delta.com,0.83465,40.720836,Cases de turisme rural,
0101000020E6100000484E266E1544E73F1EE21FB6F45E4440,43,Zona del Pregó,666059671,Delta Pregó,www.deltaprego.com,0.727061,40.741843,Cases de turisme rural,
0101000020E61000006A696E85B01AE83F50508A56EE5B4440,44,Ctra. del Toll,690917659,Casa d'en Paco,www.turismeruralebre.com,0.753258,40.718211,(mascotes)Cases de turisme rural,Es permeten mascotes
0101000020E6100000F0C2D66CE5A5EA3F9FB0C403CA5C4440,45,Ctra. De Riumar,977480976,Casa Paall,www.casapaall.com,0.832751,40.724915,(mascotes)Cases de turisme rural,Es permeten mascotes
0101000020E610000016BD5301F7BCE93F2FBFD364C6594440,46,Zona La Catxa,690107994,Irismondiu,www.irismondiu.net,0.804317,40.701367,Cases de turisme rural,
0101000020E610000008008E3D7B2EE83F1B118C834B5F4440,47,Ctra. De la Marquesa,642316578,Finca Pep de Nelis,,0.755674,40.744492,(mascotes)Cases de turisme rural,Es permeten mascotes
0101000020E61000006EFB1EF5D7ABEA3FAC1E300F995C4440,48,Zona Tramontano,607465830,Casa Rous,www.casarous.com,0.833477,40.723421,Cases de turisme rural,
